Date,7th and Park Campus,7th underpass,7th underpass Pedestrians,7th underpass Cyclists,Bline Convention Cntr,Pedestrians,Cyclists,Jordan and 7th,N College and RR,S Walnut and Wylie
"Mon, Jan 1, 2018",2,17,15,2,143,114,29,1,2,2
"Tue, Jan 2, 2018",20,29,22,7,245,175,70,13,4,5
"Wed, Jan 3, 2018",34,43,28,15,311,225,86,15,7,3
"Thu, Jan 4, 2018",40,42,32,10,277,207,70,32,10,13
"Fri, Jan 5, 2018",52,59,38,21,264,200,64,25,9,10
"Sat, Jan 6, 2018",18,48,29,19,309,222,87,13,5,4
"Sun, Jan 7, 2018",30,48,26,22,409,321,88,31,5,4
"Mon, Jan 8, 2018",145,113,61,52,534,383,151,123,8,13
"Tue, Jan 9, 2018",205,157,70,87,688,474,214,154,9,15
"Wed, Jan 10, 2018",218,161,85,76,767,527,240,172,3,19
"Thu, Jan 11, 2018",198,152,82,70,664,474,190,135,13,18
"Fri, Jan 12, 2018",25,64,51,13,242,203,39,32,1,10
"Sat, Jan 13, 2018",13,61,54,7,332,308,24,9,0,1
"Sun, Jan 14, 2018",33,50,34,16,320,284,36,18,0,2
"Mon, Jan 15, 2018",4,32,28,4,256,230,26,15,0,8
"Tue, Jan 16, 2018",33,73,63,10,249,217,32,16,0,4
"Wed, Jan 17, 2018",82,82,70,12,331,273,58,59,0,0
"Thu, Jan 18, 2018",108,78,62,16,405,326,79,55,0,1
"Fri, Jan 19, 2018",119,78,61,17,582,487,95,58,0,8
"Sat, Jan 20, 2018",55,113,74,39,898,746,152,26,0,0
"Sun, Jan 21, 2018",64,103,72,31,702,565,137,44,1,3
"Mon, Jan 22, 2018",143,126,91,35,615,448,167,103,5,11
"Tue, Jan 23, 2018",165,138,72,66,479,334,145,119,6,7
"Wed, Jan 24, 2018",156,95,66,29,501,356,145,104,8,10
"Thu, Jan 25, 2018",173,178,105,73,863,637,226,119,8,10
"Fri, Jan 26, 2018",200,172,78,94,1184,819,365,172,20,18
"Sat, Jan 27, 2018",38,57,40,17,443,367,76,26,6,9
"Sun, Jan 28, 2018",76,141,68,73,1292,979,313,51,12,11
"Mon, Jan 29, 2018",148,117,53,64,507,335,172,113,5,12
