Period,"Last Year   —   January 1, 2019 ? December 31, 2019",,,,
,,,,,
Time,Bline Convention Cntr,7th and Park Campus,Jordan and 7th,N College and RR,S Walnut and Wylie
01-01-2019 00:00:00,530,15,13,4,2
02-01-2019 00:00:00,639,62,21,3,8
03-01-2019 00:00:00,698,63,31,6,6
04-01-2019 00:00:00,519,47,24,6,13
05-01-2019 00:00:00,1143,52,37,19,9
06-01-2019 00:00:00,1018,67,55,13,5
07-01-2019 00:00:00,741,188,159,8,8
08-01-2019 00:00:00,1096,266,195,17,9
09-01-2019 00:00:00,582,184,135,10,14
10-01-2019 00:00:00,581,220,135,6,7
11-01-2019 00:00:00,638,138,104,7,10
12-01-2019 00:00:00,398,23,35,1,7
13-01-2019 00:00:00,497,31,20,0,3
14-01-2019 00:00:00,676,170,140,3,14
15-01-2019 00:00:00,582,204,128,7,7
16-01-2019 00:00:00,658,199,138,5,8
17-01-2019 00:00:00,545,176,103,2,4
18-01-2019 00:00:00,746,164,103,11,8
19-01-2019 00:00:00,370,27,14,6,5
20-01-2019 00:00:00,387,15,4,0,1
21-01-2019 00:00:00,350,20,11,0,5
22-01-2019 00:00:00,574,140,58,0,11
23-01-2019 00:00:00,369,94,73,1,6
24-01-2019 00:00:00,578,166,110,2,9
25-01-2019 00:00:00,479,124,86,3,8
26-01-2019 00:00:00,497,39,20,5,8
27-01-2019 00:00:00,498,50,38,1,5
28-01-2019 00:00:00,461,159,102,4,9
29-01-2019 00:00:00,334,119,71,4,12
30-01-2019 00:00:00,104,9,19,0,8
31-01-2019 00:00:00,263,69,62,0,4
01-02-2019 00:00:00,565,97,90,1,7
02-02-2019 00:00:00,864,56,38,2,7
03-02-2019 00:00:00,1808,110,79,18,8
04-02-2019 00:00:00,673,186,119,1,5
05-02-2019 00:00:00,599,190,97,3,3
06-02-2019 00:00:00,611,114,79,3,7
07-02-2019 00:00:00,315,59,52,2,3
08-02-2019 00:00:00,477,108,82,2,7
09-02-2019 00:00:00,643,57,21,8,7
10-02-2019 00:00:00,328,17,12,1,6
11-02-2019 00:00:00,439,107,80,4,4
12-02-2019 00:00:00,441,117,69,3,3
13-02-2019 00:00:00,637,156,84,7,10
14-02-2019 00:00:00,861,213,115,13,5
15-02-2019 00:00:00,517,129,79,5,9
16-02-2019 00:00:00,861,65,42,12,5
17-02-2019 00:00:00,481,57,19,5,5
18-02-2019 00:00:00,555,158,102,4,8
19-02-2019 00:00:00,596,191,111,6,7
20-02-2019 00:00:00,439,95,71,1,4
21-02-2019 00:00:00,899,240,125,10,7
22-02-2019 00:00:00,772,177,127,9,9
23-02-2019 00:00:00,644,57,27,7,7
24-02-2019 00:00:00,573,51,21,3,3
25-02-2019 00:00:00,801,188,122,6,6
26-02-2019 00:00:00,1048,243,134,11,9
27-02-2019 00:00:00,861,237,150,22,19
28-02-2019 00:00:00,482,175,102,5,10
01-03-2019 00:00:00,753,171,103,9,6
02-03-2019 00:00:00,684,73,53,18,4
03-03-2019 00:00:00,350,27,23,6,6
04-03-2019 00:00:00,406,117,83,3,3
05-03-2019 00:00:00,354,139,96,3,5
06-03-2019 00:00:00,568,115,85,8,9
07-03-2019 00:00:00,514,147,90,10,6
08-03-2019 00:00:00,533,84,45,9,8
09-03-2019 00:00:00,470,28,14,4,3
10-03-2019 00:00:00,715,26,8,5,2
11-03-2019 00:00:00,839,71,30,8,9
12-03-2019 00:00:00,858,61,38,9,8
13-03-2019 00:00:00,1242,79,46,20,8
14-03-2019 00:00:00,745,34,12,8,4
15-03-2019 00:00:00,529,45,23,6,8
16-03-2019 00:00:00,1057,44,28,21,9
17-03-2019 00:00:00,923,43,26,10,11
18-03-2019 00:00:00,980,216,139,12,9
19-03-2019 00:00:00,1165,272,160,14,9
20-03-2019 00:00:00,631,138,132,11,9
21-03-2019 00:00:00,805,204,149,7,8
22-03-2019 00:00:00,1134,240,137,12,14
23-03-2019 00:00:00,1554,124,52,23,12
24-03-2019 00:00:00,629,33,30,7,6
25-03-2019 00:00:00,802,153,98,3,11
26-03-2019 00:00:00,1128,273,150,13,7
27-03-2019 00:00:00,1524,278,180,23,10
28-03-2019 00:00:00,1484,326,192,27,9
29-03-2019 00:00:00,1025,202,116,15,6
30-03-2019 00:00:00,434,35,24,4,3
31-03-2019 00:00:00,747,62,48,8,7
01-04-2019 00:00:00,1048,215,149,14,2
02-04-2019 00:00:00,1401,310,180,18,15
03-04-2019 00:00:00,1465,283,196,14,11
04-04-2019 00:00:00,1256,250,175,14,13
05-04-2019 00:00:00,1110,209,127,21,15
06-04-2019 00:00:00,2177,172,84,29,9
07-04-2019 00:00:00,979,70,46,16,6
08-04-2019 00:00:00,1620,311,189,20,12
09-04-2019 00:00:00,1731,400,240,36,13
10-04-2019 00:00:00,1550,314,206,39,17
11-04-2019 00:00:00,1564,333,208,19,13
12-04-2019 00:00:00,1323,259,146,30,12
13-04-2019 00:00:00,1844,141,70,28,13
14-04-2019 00:00:00,516,34,19,5,3
15-04-2019 00:00:00,1182,268,159,17,13
