City of Bloomington Traffic Counts,,,,,,,,,,,,,,,,,,
Loc ID,County,Community,Functional Class,Rural Urban,On,From,To,Approach,At,Dir,Directions,Category,LRS ID,LRS Loc Pt,Latitude,Longitude,Latest,Latest Date
p4014,Monroe,Bloomington,-,,Ralston Drive,,,,From S. Banta Ave. to S. Ford Ave.,2-WAY,EB/WB,,,,39.13850562,-86.54279629,217,4/4/2019
p406,Monroe,Bloomington,-,,Graham Drive,,,,From S. Brown Ave. to S. Ford Ave.,2-WAY,EB/WB,,,,39.13988659,-86.54148147,510,4/4/2019
p4137,Monroe,Bloomington,-,,Coolidge Drive,,,,From S. Brown Ave. to S. Ford Ave.,2-WAY,EB/WB,,,,39.14130065,-86.54162878,498,4/4/2019
rcl1102,Monroe,Bloomington,-,,ADAMS HILL,MASTON,COUNTRYSIDE,BETWEEN,MASTON AND COUNTRYSIDE,2-WAY,NB/SB,,,,,,590,4/4/2019
rcl283,Monroe,Bloomington,-,,Pinehurst Drive,,,,North of Pine Meadows Dr.,2-WAY,NB/SB,,,,39.13814182,-86.54976075,283,4/4/2019
rcl289,Monroe,Bloomington,-,,PINEHURST,PINE MEADOWS,SOUTHERN PINES,BETWEEN,PINE MEADOWS AND SOUTHERN PINES,2-WAY,NB/SB,,,,,,467,4/4/2019
p45186,Monroe,Bloomington,-,,Kirkwood Avenue,,,,Between Fairview and Maple,2-WAY,EB/WB,,,,39.16664883,-86.5415463,11937,3/28/2019
rcl1104,Monroe,Bloomington,-,,Countryside Lane,,,,From S. Sunflower Dr. to W. Adams Hill Cir.,2-WAY,EB/WB,,,,39.14194647,-86.55256484,1044,3/28/2019
rcl1212,Monroe,Bloomington,-,,Countryside Lane,,,,From S. Adams St. to S. Sunflower Dr.,2-WAY,EB/WB,,,,39.14095774,-86.55513957,1207,3/28/2019
rcl1579,Monroe,Bloomington,-,,Countryside Lane,,,,From W. Adams Hill Cir. To S. Star View Ln.,2-WAY,EB/WB,,,,39.1424094,-86.54981464,1404,3/28/2019
rcl271,Monroe,Bloomington,-,,Countryside Lane,,,,From S. Zona Ct. to S. Cutter Ct.,2-WAY,EB/WB,,,,39.14316403,-86.54550023,1551,3/28/2019
u4126,Monroe,Bloomington,-,,OLCOTT,BRIGS,WINSTON,BETWEEN,BRIGS AND WINSTON,2-WAY,NB/SB,,,,,,262,10/24/2018
u4127,Monroe,Bloomington,-,,OLCOTT,BRIGS,BRIGS,BETWEEN,BRIGS AND BRIGS,2-WAY,NB/SB,,,,,,837,10/23/2018
r4434,Monroe,Bloomington,-,,MAXWELL,PARK,WOODLAWN,BETWEEN,PARK AND WOODLAWN,2-WAY,EB/WB,,,,,,1481,10/4/2018
r4436,Monroe,Bloomington,-,,MAXWELL,FESS,STULL,BETWEEN,FESS AND STULL,2-WAY,EB/WB,,,,,,1488,10/4/2018
r3949,Monroe,Bloomington,-,,ALLENDALE,WELLINGTON,TUDOR,BETWEEN,WELLINGTON AND TUDOR,2-WAY,EB/WB,,,,,,1252,9/13/2018
r3959,Monroe,Bloomington,-,,ALLENDALE,ESSEX,DUNSTAN,BETWEEN,ESSEX AND DUNSTAN,2-WAY,EB/WB,,,,,,1223,9/13/2018
r3979,Monroe,Bloomington,-,,ALLENDALE,ALLENDALE,BROWNING,BETWEEN,ALLENDALE AND BROWNING,2-WAY,NB/SB,,,,,,1591,9/13/2018
r4242,Monroe,Bloomington,-,,MAXWELL,MILLER,THORNTON,BETWEEN,MILLER AND THORNTON,2-WAY,NB/SB,,,,,,829,9/13/2018
r4244,Monroe,Bloomington,-,,MAXWELL,THORNTON,HILLSIDE,BETWEEN,THORNTON AND HILLSIDE,2-WAY,NB/SB,,,,,,892,9/13/2018
rcl1495,Monroe,Bloomington,-,,Smith Road,,,,From E. Lorelei Way to E. Moores Pike,2-WAY,NB/SB,,,,39.1497782,-86.48044691,5219,7/26/2018
rcl483,Monroe,Bloomington,-,,MOORES,SMITH,STATE ROAD 446,BETWEEN,SMITH AND STATE ROAD 446,2-WAY,EB/WB,,,,,,5053,7/26/2018
rcl768,Monroe,Bloomington,-,,Moores Pike,,,,Bet. Olcott and Smith Rd.,2-WAY,EB/WB,,,,39.15021062,-86.48178345,5702,7/26/2018
rcl1021,Monroe,Bloomington,-,,Smith Road,,,,North of Moores Pike,2-WAY,NB/SB,,,,39.15107827,-86.48048074,4953,7/25/2018
q432,Monroe,Bloomington,-,,ALLEN,WALNUT,WASHINGTON,BETWEEN,WALNUT AND WASHINGTON,2-WAY,EB/WB,,,,,,449,6/7/2018
q436,Monroe,Bloomington,-,,Allen Street,,,,East of Grant,2-WAY,EB/WB,,,,39.15558101,-86.52968376,444,6/7/2018
rcl578,Monroe,Bloomington,-,,CRESCENT,VERNAL,17th,BETWEEN,VERNAL AND 17th,2-WAY,NB/SB,,,,,,4463,6/6/2018
o4655,Monroe,Bloomington,-,,Vernal Pike,,,,S. of N. Crescent Rd.,2-WAY,EB/WB,,,,39.17424769,-86.5559325,4888,5/24/2018
o4660,Monroe,Bloomington,-,,Vernal Pike,,,,From W. 8th St. to W. Gray St.,2-WAY,EB/WB,,,,39.171314,-86.5525339,3554,5/24/2018
s4215,Monroe,Bloomington,-,,ARDEN,WILLIAMS,GREENFIELD,BETWEEN,WILLIAMS AND GREENFIELD,2-WAY,NB/SB,,,,,,572,5/24/2018
q4352,Monroe,Bloomington,-,,Washington Street,,,,South of Dodds,1-WAY,SB,,,,39.15694316,-86.53244586,2176,5/3/2018
q4454,Monroe,Bloomington,-,,Washington Street,,,,From E. 1st St. to E. 2nd St.,1-WAY,SB,,,,39.16036466,-86.53240761,2617,5/3/2018
q492,Monroe,Bloomington,-,,Old State Road 37,,,,N. of W. Gourley Pike,2-WAY,NB/SB,,,,39.19137425,-86.53549872,820,5/3/2018
q4116,Monroe,Bloomington,-,,HENDERSON,NORTH,MILLER,BETWEEN,NORTH AND MILLER,2-WAY,NB/SB,,,,,,8847,5/2/2018
q4119,Monroe,Bloomington,-,,NORTH,WALNUT,HENDERSON,BETWEEN,WALNUT AND HENDERSON,2-WAY,EB/WB,,,,,,2632,5/2/2018
p4335,Monroe,Bloomington,-,,Allen Street,,,,From S. Morton St. to S. Walnut St.,2-WAY,EB/WB,,,,39.15559709,-86.53497291,388,4/19/2018
