Data de registro;Razão Social;CNPJ / CPF;RAMO;Status
13/01/2021;LUGAS GARCIA GUALBERTO ME;37084155000163;SERVIÇOS ESSENCIAIS;ENCERRADA
22/01/2021;IMOBILIÁRIA NOVOLAR LTDA. EPP;61991956000197;SERVIÇOS PRIVADOS;ENCERRADA
22/01/2021;QUALICONSIG PROMOTORA DE VENDAS LTDA. ME;27733374000172;SERVIÇOS PRIVADOS;ENCERRADA
22/01/2021;TESTE SMIT;-;SERVIÇOS ESSENCIAIS;ENCERRADA
28/01/2021;TELEFONICA BRASIL S.A.;02558157000162;SERVIÇOS ESSENCIAIS;ENCERRADA
05/02/2021;TESTE SMIT;-;-;ENCERRADA
11/02/2021;CENTURY CAR PREMIUM SERVIÇOS AUTOMOTIVOS LTDA. ME;34561028000110;SERVIÇOS PRIVADOS;ENCERRADA
12/02/2021;B2W COMPANHIA DIGITAL (AMERICANAS.COM);00776574000660;PRODUTO;ENCERRADA
19/02/2021;TELEFONICA BRASIL S.A.;02558157000162;SERVIÇOS ESSENCIAIS;ENCERRADA
23/02/2021;TELEFONICA BRASIL S.A.;02558157000162;SERVIÇOS ESSENCIAIS;ENCERRADA
23/02/2021;TIM S.A;04206050000180;SERVIÇOS ESSENCIAIS;ENCERRADA
25/02/2021;ARMANDO DE DEUS PIRES MERCEARIA ME (MERCADINHO FONTOURA);03869162000159;PRODUTO;ENCERRADA
10/03/2021;TELEFONICA BRASIL S.A.;02558157000162;SERVIÇOS ESSENCIAIS;ENCERRADA
10/03/2021;OFICINA MECANICA;-;SERVIÇOS PRIVADOS;ENCERRADA
10/03/2021;JOLI COMÉRCIO E TRANSPORTE DE GÁS E ÁGUA LTDA. ME;69249324000164;PRODUTO;ENCERRADA
12/03/2021;ESTACIONAMENTO;-;SERVIÇOS PRIVADOS;ENCERRADA
12/03/2021;WWW.REMEDIOPARAEMAGRECER.ORG;-;SERVIÇOS PRIVADOS;ENCERRADA
15/03/2021;PEROLA FILMES LTDA. ME;18093502000170;SERVIÇOS PRIVADOS;ENCERRADA
16/03/2021;C&A MODAS S.A.;45242914000105;PRODUTO;ENCERRADA
17/03/2021;EBAZAR.COM.BR LTDA.;03007331000141;SERVIÇOS PRIVADOS;EM ANDAMENTO
18/03/2021;POSTO JURUPARI LTDA.;46370177000180;PRODUTO;ENCERRADA
18/03/2021;PRIME AUTOPOSTO LTDA.;10945303000130;PRODUTO;ENCERRADA
18/03/2021;HELP FRANCHISING;-;ASSUNTOS FINANCEIROS;ENCERRADA
20/03/2021;FELIPE CARLOS DA SILVA ME;21674054000102;PRODUTO;ENCERRADA
20/03/2021;SAMUEL;10707797926;PRODUTO;ENCERRADA
25/03/2021;B2W - CMPANHIA DIGITAL;00776574000660;PRODUTO;ENCERRADA
05/04/2021;C&A MODAS S.A.;45242914016109;PRODUTO;EM ANDAMENTO
06/04/2021;DROGARIA AVENIDA PETRI LTDA.;06171429000128;SAÚDE;ENCERRADA
09/04/2021;SKY BRASIL SERVIÇOS LTDA.;72820822000120;SERVIÇOS PRIVADOS;ENCERRADA
12/04/2021;NEON PAGAMENTOS S.A.;20855875000182;ASSUNTOS FINANCEIROS;EM ANDAMENTO
13/04/2021;CENTRO AUTOMOTIVO VILA FORMOSA LTDA.;69327492000120;PRODUTO;EM ANDAMENTO
19/04/2021;B2W COMPANHIA DIGITAL (SUBMARINO.COM.BR);00776574000660;PRODUTO;EM ANDAMENTO
21/04/2021;MULT LINE AUTOMOTIVE CENTER MECANICA LTDA. ME;05648306000172;SERVIÇOS PRIVADOS;ENCERRADA
24/04/2021;DESEMTUPIDORA LIMP POWER;-;SERVIÇOS PRIVADOS;ENCERRADA
24/04/2021;PARIZ BAR LANCHONETE EIRELI ME;33936411000142;ALIMENTOS;EM ANDAMENTO
29/04/2021;GLOBAL TRAINING;-;SERVIÇOS PRIVADOS;ENCERRADA
29/04/2021;ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.;61695227000193;SERVIÇOS ESSENCIAIS;EM ANDAMENTO
30/04/2021;ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.;61695227000193;SERVIÇOS ESSENCIAIS;EM ANDAMENTO
03/05/2021;RAIA DROGASIL S/A;61585865000151;SAÚDE;ENCERRADA
04/05/2021;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO (PÃO DE AÇÚCAR);47508411030730;PRODUTO;ENCERRADA
06/05/2021;CLARO S.A;40432544000147;SERVIÇOS ESSENCIAIS;ENCERRADA
06/05/2021;B2W COMPANHIA DIGITAL (AMERICANAS.COM);00776574000660;PRODUTO;ENCERRADA
09/05/2021;AMA-LOJA.SITE;-;PRODUTO;ENCERRADA
11/05/2021;BORRACHARIA AUTO CENTER BRASIL;-;SERVIÇOS PRIVADOS;ENCERRADA
11/05/2021;AMS SERVIÇOS AUTOMOTIVOS LTDA. EPP;38502655000130;SERVIÇOS PRIVADOS;ENCERRADA
12/05/2021;EDISON ALONSO GONSALEZ ELETRÔNICOS ME (SIL GAMES);09442992000181;PRODUTO;ENCERRADA
13/05/2021;B2W COMPANHIA DIGITAL (SUBMARINO.COM.BR);00776574000660;PRODUTO;ENCERRADA
14/05/2021;ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.;61695227000193;SERVIÇOS ESSENCIAIS;EM ANDAMENTO
16/05/2021;ADEGA;-;PRODUTO;ENCERRADA
17/05/2021;MARILU MASSAS;-;SERVIÇOS PRIVADOS;ENCERRADA
17/05/2021;LUCI MARIA DE SOUZA CAETANO CONSTRUÇÃO ME;05867073000107;PRODUTO;ENCERRADA
23/05/2021;HIGHLAND PARK COMÉRCIO E IMPORTAÇÃO LTDA.;18706948000122;PRODUTO;EM ANDAMENTO
24/05/2021;HIGHLAND PARK COMÉRCIO E IMPORTAÇÃO LTDA.;18706948000122;PRODUTO;ENCERRADA POR DUPLICIDADE
25/05/2021;PANIFICADORA JARDIM DO ENVENHO PÃES E DOCES LTDA.;07759894000147;PRODUTO;ENCERRADA
26/05/2021;CENTRO DE FORMAÇÃO DE CONDUTORES JET EIRELI;21556449000191;SERVIÇOS PRIVADOS;ENCERRADA
27/05/2021;C MARIANO VEÍCULOS EIRELI ME (AVANT MOTORS);31110382000130;PRODUTO;ENCERRADA
28/05/2021;SANSON PERFUMARIA;-;PRODUTO;ENCERRADA
29/05/2021;ARTHUR LUNDGREN TECIDOS S A CASAS PERNAMBUCANAS;61099834002649;PRODUTO;ENCERRADA
31/05/2021;LOJA TA CHEGANDO;-;PRODUTO;CANCELADA
31/05/2021;LOJA TA CHEGANDO;-;PRODUTO;ENCERRADA
31/05/2021;LOJA TA CHEGANDO;-;PRODUTO;CANCELADA
31/05/2021;MERCADÃO ATACADISTA COMÉRCIO DE ALIMENTOS LTDA.;16881767000883;PRODUTO;ENCERRADA
02/06/2021;CARREFOUR COMÉRCIO E INDÚSTRIA LTDA.;45543915084695;PRODUTO;ENCERRADA
03/06/2021;CLÍNICA FARES SOCIEDADE LIMITADA;59492348000196;SERVIÇOS PRIVADOS;EM ANDAMENTO
04/06/2021;MERCADÃO DE CARNES NOVILHÃO LTDA. EPP;08170468000560;PRODUTO;EM ANDAMENTO
05/06/2021;SANCHES E MARTIS SUPERMERCADOS LTDA. ME;19833059000199;PRODUTO;ENCERRADA
17/06/2021;RAIA DROGASIL S/A;61585865000151;SAÚDE;ENCERRADA
19/06/2021;DROGARIA SÃO PAULO S.A.;61412110056533;SAÚDE;ENCERRADA
21/06/2021;M12 VEÍCULOS NACIONAIS E IMPORTADOR - EIRELI EPP;24511885000151;PRODUTO;ENCERRADA
;;;;
;;;;
