RECLAMAÇÕES 2021 - JAN/AGO;;;;;
;;;;;
Data de entrada;Região;Razão Social;Área;Status da Reclamação;Proveniência
02/01/2021;ZONA SUL;BLUEFIT ACADEMIA DE GINASTICA E PARTICIPAÇOES LTDA;Serviços Privados;CONCLUÍDA;Online
02/01/2021;ZONA SUL;ZARA BRASIL LTDA;Produtos;FINALIZADA;Online
03/01/2021;ZONA SUL;ELECTRONIC ARTS LTDA.;Produtos;CONCLUÍDA;Online
04/01/2021;ZONA LESTE;123 VIAGENS E TURISMO LTDA.;Serviços Privados;FINALIZADA;Online
05/01/2021;ZONA LESTE;MINDSET INSTITUTE LTDA;Serviços Privados;FINALIZADA;Online
05/01/2021;CENTRO;AUTO POSTO ITABRAS LTDA;Serviços Privados;CONCLUÍDA;Online
05/01/2021;ZONA LESTE;CONUBE CONTABILIDADE E SERVICOS ADMINISTRATIVOS LTDA.;Serviços Privados;CONCLUÍDA;Online
05/01/2021;CENTRO;AUTO POSTO ITABRAS LTDA;Serviços Privados;FINALIZADA;Online
05/01/2021;ZONA LESTE;BANCO ITAUCARD S.A.;Assuntos Financeiros;CONCLUÍDA;Online
05/01/2021;ZONA OESTE;EMPREENDIMENTOS PAGUE MENOS S/A;Produtos;CONCLUÍDA;Online
06/01/2021;ZONA SUL;DECOLAR. COM LTDA.;Serviços Privados;CONCLUÍDA;Online
08/01/2021;CENTRO;SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A;Produtos;CONCLUÍDA;Online
08/01/2021;ZONA NORTE;CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;Serviços Essenciais;FINALIZADA;Online
11/01/2021;FORA DA CIDADE DE SÃO PAULO;VIA VAREJO S/A;Produtos;CONCLUÍDA;Online
11/01/2021;FORA DA CIDADE DE SÃO PAULO;INFOAR COMERCIO E SERVICOS EM AR CONDICIONADO E INFORMATICA EIRELI;Serviços Privados;CONCLUÍDA;Online
11/01/2021;ZONA NORTE;CASA EDUCACAO SOLUCOES EDUCACIONAIS LTDA;Serviços Privados;FINALIZADA;Online
13/01/2021;ZONA SUL;PEIXE URBANO WEB SERVICOS DIGITAIS LTDA;Serviços Privados;CONCLUÍDA;Online
14/01/2021;CENTRO;TELEFONICA BRASIL S.A.;Serviços Essenciais;FINALIZADA;Online
14/01/2021;FORA DA CIDADE DE SÃO PAULO;VULCABRAS AZALEIA - SP, COMERCIO DE ARTIGOS ESPORTIVOS LTDA.;Produtos;CONCLUÍDA;Online
14/01/2021;ZONA SUL;MADEIRAMADEIRA COMERCIO ELETRONICO S/A;Produtos;CONCLUÍDA;Online
15/01/2021;ZONA SUL;CONNECT GUN COMERCIO, IMPORTACAO E SERVICOS EIRELI;Produtos;FINALIZADA;Online
15/01/2021;ZONA LESTE;COOPERATIVA DE ECONOMIA E CREDITO MUTUO SICOOB COOPERCREDI-SP;Serviços Privados;CONCLUÍDA;Online
15/01/2021;ZONA LESTE;ASSOCIACAO BRASILEIRA DOS PROFISSIONAIS DE SEGURANCA USUARIOS DE TELEFONIA MOVEL CORPORATIVA - ASERP;Serviços Privados;CONCLUÍDA;Online
15/01/2021;CENTRO;VISA DO BRASIL EMPREENDIMENTOS LTDA;Serviços Privados;CONCLUÍDA;Online
